run_id,fold,validauc,model_save_path
sepwu517,3,0.8398737261572315,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_8_1_0.001_1_1_[3, 5]_f481d076-de42-4b7c-8da2-9a5e41f45794/qid_model.ckpt"
p5i0jgsz,3,0.8356633679794079,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_3_0.3_128_256_4_4_0.001_1_1_[3, 5]_30244296-b84b-4187-889e-91e1fae2fb38/qid_model.ckpt"
y2n23gfl,4,0.8460789843358052,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_4_0.3_128_256_8_4_0.0001_1_1_[3, 5]_41f3253b-7aaa-461e-85a9-5c2d1d2a4c2a/qid_model.ckpt"
m1jnhqcg,1,0.8317869944091152,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_1_0.3_128_256_8_1_0.001_1_1_[3, 5]_d6e3ba4d-6e37-49be-ae36-69d750c3c86c/qid_model.ckpt"
2omnnyyj,3,0.8401427148195315,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_3_0.3_128_256_8_1_0.001_1_1_[3, 5]_4840640c-dc83-47bd-aeda-db2ac5f19666/qid_model.ckpt"
krcma3m7,4,0.8435776971132944,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_4_0.3_128_256_8_2_0.001_1_1_[3, 5]_9051c8b2-6465-4d66-bbcb-e48ad4338930/qid_model.ckpt"
i0ltfiwy,4,0.8452639550007455,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_4_0.3_128_256_8_1_0.0001_1_1_[3, 5]_2ff881c4-0db8-421e-93fb-565f15914745/qid_model.ckpt"
3m4e0f0z,0,0.8538566465816577,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_0_0.3_128_256_8_1_0.001_1_1_[3, 5]_f006fefa-2034-4150-9b43-cc26c4c9f610/qid_model.ckpt"
q303wmsl,4,0.8460771123040933,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_4_0.3_128_256_8_1_0.001_1_1_[3, 5]_888af34b-907c-4ef2-a91d-4e47b81e3dda/qid_model.ckpt"
fomwkx72,3,0.8139283779443125,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_8_1_1e-05_1_1_[3, 5]_3d6aa856-ec85-4601-96a6-6e209c74bdc3/qid_model.ckpt"
