Summary Metrics
metric,mean,std
windowauclate_mean,0.8042617261680747,0.001540289729867934
windowacclate_mean,0.8050748280399225,0.0009989983559487423

Individual Folds Metrics
fold,windowauclate_mean,windowacclate_mean
0,0.8023050820372173,0.8036606369208716
1,0.8066283142850792,0.806463345492667
2,0.8041744172471615,0.8052759384259903
3,0.8041239107316435,0.8049229255142756
4,0.804076906539271,0.8050512938458082
