run_id,fold,validauc,validacc,timestamp,best_epoch,model_save_path
nhelznjm,4,0.9262918603144404,0.8775660216996807,1735074885.9171011,5,"models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005/algebra2005_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005_42_4_0.3_128_256_4_1_0.001_1_1_[3, 5]_19d97704-792d-4cdb-a91a-78ce6de18f46/"
oc8npig5,0,0.9235022430474904,0.8665268915223336,1735075090.854564,26,"models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005/algebra2005_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005_42_0_0.3_128_256_4_4_0.0001_1_1_[3, 5]_23842253-f5ac-4949-be05-69698644d291/"
axb8jtkq,3,0.9247732581158428,0.8764460465750867,1735074815.3824606,5,"models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005/algebra2005_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005_42_3_0.3_128_256_4_1_0.001_1_1_[3, 5]_66877f15-15cf-4c8d-85c0-f49b8e79f751/"
50jsfl0d,4,0.9262918603144404,0.8775660216996807,1735074809.7646902,5,"models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005/algebra2005_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005_42_4_0.3_128_256_4_1_0.001_1_1_[3, 5]_bd063358-acb8-4aef-bb58-f8fdb10fdc54/"
rtj1t3v5,2,0.9246689250709874,0.871722923152548,1735074881.2291045,26,"models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005/algebra2005_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005_3407_2_0.3_128_256_4_1_0.0001_1_1_[3, 5]_7629a238-bbb1-46c4-8c59-3bf9bcfdfa53/"
rpw1kxvh,4,0.9246894848178012,0.8767084478679337,1735074734.5359542,4,"models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005/algebra2005_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005_42_4_0.3_128_256_8_1_0.001_1_1_[3, 5]_93493972-0385-484b-91c9-ae31e511f049/"
fscagjv1,1,0.9264908866223392,0.8672892632606971,1735074811.848216,27,"models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005/algebra2005_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005_3407_1_0.3_128_256_4_1_0.0001_1_1_[3, 5]_da9269d9-b08e-4b14-99d0-fe5fdf95b9a2/"
fba70gju,0,0.9239144159699396,0.867213612883622,1735074801.5212302,27,"models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005/algebra2005_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005_42_0_0.3_128_256_4_1_0.0001_1_1_[3, 5]_ab60f8f7-efc8-4a89-8c29-eb502152c120/"
4usev739,4,0.9262918603144404,0.8775660216996807,1735074659.1590478,5,"models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005/algebra2005_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005_42_4_0.3_128_256_4_1_0.001_1_1_[3, 5]_1b57bbc5-de09-4af9-995f-0eb44d9c7d10/"
a3hp8ec3,1,0.9242974673286808,0.8645608252456815,1735074655.7417958,5,"models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005/algebra2005_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A5_tiaocan_algebra2005_42_1_0.3_128_256_8_1_0.001_1_1_[3, 5]_878df7dc-251f-43e1-8b92-406407c231ac/"
