Summary Metrics
metric,mean,std
windowauclate_mean,0.7954009709628086,0.0005683660041218404
windowacclate_mean,0.8532972914954255,0.00035997028261116443

Individual Folds Metrics
fold,windowauclate_mean,windowacclate_mean
0,0.7957551849465364,0.8536548852790559
1,0.7958712008992019,0.8534995325294534
2,0.7957925304760257,0.8535108309112427
3,0.7946302964274499,0.8529600347990159
4,0.794955642064829,0.8528611739583598
