Summary Metrics
metric,mean,std
windowauclate_mean,0.7532899986126107,0.0008088100015599505
windowacclate_mean,0.7245255641681623,0.0010820625777127144

Individual Folds Metrics
fold,windowauclate_mean,windowacclate_mean
0,0.7521289513469221,0.7227843751193249
1,0.7528095810774024,0.7247508495933407
2,0.754095077412588,0.7248654015044484
3,0.7538495069833508,0.725743632822941
4,0.7535668762427905,0.724483561800756
