run_id,fold,validauc,validacc,timestamp,best_epoch,model_save_path
prjzxv8t,1,0.8093701204627373,0.7653699201111497,1742174925.704609,27,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_42_1_0.5_64_0.001_1_1_0_aae4d1ee-f6f5-4a23-8c71-68945f4aeb30/
6j1pnoh5,0,0.8344791234506098,0.778760056791292,1742174924.83289,44,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_3407_0_0.3_256_0.0001_1_1_0_75f782b9-3882-4484-bd9a-284b5f72042d/
rvhltg8i,0,0.83305386057477,0.7778892569805963,1742174413.5398266,27,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_42_0_0.3_256_0.0001_1_1_0_8253cdee-8de7-4efd-9a61-8fd40d08fb2b/
nur5ofis,0,0.8302761902596603,0.7768291528632276,1742174057.4274647,6,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_3407_0_0.3_256_0.001_1_1_0_0c19c5a6-9484-4310-99b2-d6b86a97185b/
q8x5nzzb,0,0.8306264206491207,0.7750496923805017,1742173893.2631724,5,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_42_0_0.3_256_0.001_1_1_0_c9cee57e-b298-4787-8f78-c92928826a14/
beup4n3i,2,0.8123491086938817,0.7721629522760924,1742174717.4351635,189,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_3407_2_0.5_128_1e-05_1_1_0_9601e56d-88db-4b75-b945-35e90b820565/
5pfs2orb,1,0.806180117337739,0.7625332870209564,1742174633.371476,117,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_3407_1_0.3_256_1e-05_1_1_0_2ea93b82-71b3-439d-a6d1-5b57d4074ea3/
ongzxk5e,2,0.8142349577213631,0.7723717681005353,1742173535.5639155,170,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_42_2_0.5_128_1e-05_1_1_0_96a6453a-681a-4347-8151-31df238b7201/
1g90a04y,1,0.8065800974161487,0.7633630504418972,1742173462.9210896,114,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_42_1_0.3_256_1e-05_1_1_0_9f90a5fe-2527-4a7e-ab19-aa1556de4ce1/
rtcnypjr,0,0.8206667834697147,0.7709607193563653,1742173730.9383652,181,models/dkt_DKT_LIQUID_A9_tiaocan_assist2009/assist2009_dkt_qid_models/dkt_DKT_LIQUID_A9_tiaocan_assist2009_3407_0_0.3_128_1e-05_1_1_0_41dfadb0-13a9-4a5b-8a11-e24c75b76364/
